property_name,competitor_name,ota,room_category,checkin_date,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-27,2026-04-28,2026-04-29
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-16,,210107.0,210107.0,210089.0,210089.0,210089.0,210089.0,210089.0,210089.0,210089.0,210089.0,210089.0,210089.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-20,,,,,,,,,,,,151851.0,151845.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-22,,,,,,238767.0,238767.0,238759.0,238759.0,238759.0,238759.0,238759.0,238759.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-23,,,,,,,,,407815.0,407815.0,407815.0,407815.0,407815.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-24,,,,,,,,,,,407822.0,407822.0,407822.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-27,,,,,,,,,,,,151851.0,151845.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-29,,,,,,,,,,,,,181450.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-04-24,,276960.0,276960.0,276960.0,276960.0,276960.0,276960.0,276960.0,276960.0,276960.0,276960.0,276960.0,276960.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-04-29,,,,,,,,,,,,210108.0,210108.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-06,,,,,,,,,,,,210108.0,210108.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-08,,276960.0,276960.0,276936.0,276936.0,276936.0,276936.0,276936.0,276936.0,276936.0,276936.0,276936.0,276936.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-09,,305611.0,305611.0,305611.0,305611.0,305611.0,305611.0,305590.0,305590.0,305590.0,305590.0,305590.0,305590.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-13,,,,,,,,,,,,210108.0,210101.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-15,,257859.0,257859.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-16,,257859.0,257859.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0,257837.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-20,,,,,,,,,,,,210108.0,210101.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-22,,,,,,429781.0,429781.0,429767.0,429767.0,429767.0,429767.0,429767.0,429752.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-27,,,,,,,,,,,,210108.0,210101.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,스위트,2026-05-29,,,,,,,,,,,,,257851.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-04-24,,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-04-25,,,,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-04-29,,,,,,,,,,,,165000.0,165000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-06,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-08,,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-09,,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0,270000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-13,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-15,,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-16,,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-20,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-22,,,,,,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-23,,,,,,,,,450000.0,450000.0,450000.0,450000.0,450000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-24,,,,,,,,,,,450000.0,450000.0,450000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-27,,,,,,,,,,,,159000.0,159000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,디럭스,2026-05-29,,,,,,,,,,,,,190000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,스위트,2026-04-24,,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,스위트,2026-04-29,,,,,,,,,,,,220000.0,220000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,스위트,2026-05-06,,,,,,,,,,,,220000.0,220000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/TripBToz,스위트,2026-05-08,,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
